# buildings_simplified.csv -- one row per building, frame: SUMO local (m)
# name, cx, cy, sx, sy, sz, yaw_deg
bld_B354061864101063C0,     613.41,     460.78,   15.59,    5.38,  36.18,   -14.82
bld_B354071864701063C0,     614.72,     465.91,   15.68,    5.26,  36.17,   -15.09
bld_B354071884601063C0,     613.28,     666.70,   70.19,   25.20,  41.42,    75.23
bld_B354081870801063C0,     613.55,     528.09,   15.64,    5.25,  21.01,   -14.78
bld_B354091871301063C0,     614.88,     533.07,   15.59,    5.36,  20.88,   -15.07
bld_B354101865202063C0,     616.11,     470.73,   15.47,    5.01,   8.16,   -14.04
bld_B354111865101063C0,     617.01,     470.51,    9.94,    4.96,  24.69,   -14.29
bld_B354111865701063C0,     617.24,     475.43,   15.01,    5.16,  26.89,   -15.27
bld_B354111866401063C0,     619.49,     482.89,   15.80,   10.64,  37.69,   -14.02
bld_B354111871801063C0,     615.79,     537.97,   13.60,    5.69,  26.84,   -14.78
bld_B354121914601063C0,     603.42,     974.37,   60.86,   41.81,  32.40,     8.93
bld_B354171868301063C0,     624.26,     501.56,   16.49,   11.45,  35.76,   -15.12
bld_B354171875201063C0,     624.21,     570.90,   17.26,    6.91,  18.75,   -15.22
bld_B354191869001063C0,     626.55,     509.35,   16.02,    5.49,  28.75,   -15.01
bld_B354191875701063C0,     626.33,     576.28,   14.34,    5.42,  27.30,   -15.06
bld_B354201869501063C0,     627.95,     514.44,   15.92,    5.09,  28.75,   -15.03
bld_B354211870001063C0,     628.74,     519.26,   15.89,    5.54,  27.06,   -14.64
bld_B354211876801063C0,     630.42,     587.62,   18.74,   11.97,  60.60,    74.84
bld_B354221870501063C0,     630.19,     524.20,   15.63,    4.88,  27.06,   -15.05
bld_B354221873001063C0,     628.60,     549.57,   27.63,   17.37,  17.25,   -14.74
bld_B354221876802063C0,     629.67,     587.72,   18.91,   13.62,  10.49,    75.46
bld_B354241871101063C0,     631.85,     528.78,   16.41,    5.36,  34.02,   -15.50
bld_B354251871501063C0,     633.18,     533.83,   16.24,    5.10,  34.02,   -15.51
bld_B354281879101063C0,     636.61,     610.50,   19.44,   11.45,  94.06,    75.45
bld_B354281879102063C0,     636.48,     610.00,   27.72,   11.52,  21.34,    75.16
bld_B354301860401063C0,     633.88,     423.95,   15.26,    5.08,  35.97,   -14.93
bld_B354311860901063C0,     635.19,     428.82,   15.30,    5.11,  36.76,   -14.92
bld_B354311875301063C0,     643.15,     570.48,   15.73,    3.72,  34.02,   -15.09
bld_B354321861501063C0,     636.56,     433.87,   15.36,    5.43,  39.21,   -14.72
bld_B354321861901063C0,     637.90,     438.90,   15.43,    5.07,  36.60,   -14.38
bld_B354331876201063C0,     645.31,     578.59,   15.68,    4.21,  33.94,   -15.08
bld_B354331895601063C0,     640.68,     773.52,   57.47,   45.66,  20.40,   -81.46
bld_B354331900501063C0,     635.57,     830.60,   81.11,   26.94,  92.42,     9.49
bld_B354341881802063C0,     642.38,     637.43,   12.33,    5.34,  11.75,   -15.02
bld_B354361863401063C0,     642.30,     453.44,   14.69,    9.83,  61.05,    75.74
bld_B354371863402063C0,     641.77,     453.30,   26.08,   15.42,  11.64,    74.21
bld_B354371874801063C0,     641.94,     566.18,   15.67,    5.37,  34.03,   -15.61
bld_B354371876401063C0,     647.15,     582.56,   14.08,    4.45,  33.94,   -15.00
bld_B354391875601063C0,     644.06,     574.45,   16.05,    4.44,  32.56,   -15.06
bld_B354391883602063C0,     647.41,     655.28,   32.90,   12.87,  16.46,    75.09
bld_B354401864901063C0,     644.32,     468.66,   12.07,    5.61,  26.71,   -14.59
bld_B354401877502063C0,     648.89,     593.22,   17.95,   14.94,  17.81,    75.27
